N-(4-hydroxyphenyl)acetamide	anthracene	0	1983&8418
2-[1-(4-chlorobenzoyl)-5-methoxy-2-methylindol-3-yl]acetic acid	cyclohexylsulfamic acid	0	3715&7533
2-methyl-1,3,5-trinitrobenzene	2-hydroxybenzoic acid	0	8376&338
2-methyl-1,3,5-trinitrobenzene	benzoic acid	0	8376&243
1-methyl-2,4-dinitrobenzene	2-hydroxybenzoic acid	0	8461&338
1-methyl-2,4-dinitrobenzene	benzoic acid	0	8461&243
2-chlorobenzoic acid	2-hydroxybenzoic acid	0	8374&338
2-chlorobenzoic acid	benzoic acid	0	8374&243
2-nitrophenol	benzoic acid	0	6947&243
3-hydroxybenzamide	2-hydroxybenzoic acid	0	342403&338
3-hydroxybenzamide	benzoic acid	0	342403&243
3-methylheptanedioic acid	benzoic acid	0	21510350&243
4-nitrophenol	2-hydroxybenzoic acid	0	980&338
4-nitrophenol	benzoic acid	0	980&243
4-nitrophenol	(E)-3-phenylprop-2-enoic acid	0	980&444539
acetamide	benzoic acid	0	178&243
benzamide	3-hydroxybenzoic acid	0	2331&7420
benzamide	4-hydroxybenzoic acid	0	2331&135
benzamide	benzoic acid	0	2331&243
benzamide	(E)-3-(4-hydroxy-3-methoxyphenyl)prop-2-enoic acid	0	2331&445858
1,2-diphenylethane-1,2-dione	benzoic acid	0	8651&243
benzoic acid	2-hydroxybenzoic acid	0	243&338
1,7,7-trimethylbicyclo[2.2.1]heptan-2-ol	2-hydroxybenzoic acid	0	64685&338
(E)-3-phenylprop-2-enoic acid	benzoic acid	0	444539&243
(1E,6E)-1,7-bis(4-hydroxy-3-methoxyphenyl)hepta-1,6-diene-3,5-dione	338	0	969516&338
(1E,6E)-1,7-bis(4-hydroxy-3-methoxyphenyl)hepta-1,6-diene-3,5-dione	4-hydroxybenzoic acid	0	969516&135
(1E,6E)-1,7-bis(4-hydroxy-3-methoxyphenyl)hepta-1,6-diene-3,5-dione	(E)-3-(4-hydroxy-3-methoxyphenyl)prop-2-enoic acid	0	969516&445858
2-ethoxybenzamide	3-hydroxybenzoic acid	0	3282&7420
piperidine-2,6-dione	2-hydroxybenzoic acid	0	70726&338
piperidine-2,6-dione	3-hydroxybenzoic acid	0	70726&7420
piperidine-2,6-dione	benzoic acid	0	70726&243
2-[1-(4-chlorobenzoyl)-5-methoxy-2-methylindol-3-yl]acetic acid	1-hydroxynaphthalene-2-carboxylic acid	0	3715&6844
2-[1-(4-chlorobenzoyl)-5-methoxy-2-methylindol-3-yl]acetic acid	2,5-dihydroxybenzoic acid	0	3715&3469
2-[1-(4-chlorobenzoyl)-5-methoxy-2-methylindol-3-yl]acetic acid	2-hydroxybenzoic acid	0	3715&338
2-[1-(4-chlorobenzoyl)-5-methoxy-2-methylindol-3-yl]acetic acid	4-hydroxybenzoic acid	0	3715&135
2-[1-(4-chlorobenzoyl)-5-methoxy-2-methylindol-3-yl]acetic acid	benzoic acid	0	3715&243
pyrrole-2,5-dione	2-hydroxybenzoic acid	0	10935&338
pyrrole-2,5-dione	3-hydroxybenzoic acid	0	10935&7420
pyrrole-2,5-dione	benzoic acid	0	10935&243
propanedioic acid	2-hydroxybenzoic acid	0	867&338
propanedioic acid	benzoic acid	0	867&243
5-methyl-2-propan-2-ylcyclohexan-1-ol	2-hydroxybenzoic acid	0	1254&338
naphthalene	benzoic acid	0	931&243
oxalic acid	benzoic acid	0	971&243
phenanthrene	2-hydroxybenzoic acid	0	995&338
phenanthrene	benzoic acid	0	995&243
phenanthrene	3-hydroxybenzoic acid	0	995&7420
phenanthrene	(E)-3-phenylprop-2-enoic acid	0	995&444539
2-phenylacetic acid	benzoic acid	0	999&243
isoindole-1,3-dione	benzoic acid	0	6809&243
2-(2-oxopyrrolidin-1-yl)acetamide	2,6-dihydroxybenzoic acid	0	4843&9338
1-[(3S,8S,9S,10R,13S,14S,17S)-3-hydroxy-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-17-yl]ethanone	2,5-dihydroxybenzoic acid	0	8955&3469
1-[(3S,8S,9S,10R,13S,14S,17S)-3-hydroxy-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-17-yl]ethanone	2-hydroxynaphthalene-1-carboxylic acid	0	8955&16790
1-[(3S,8S,9S,10R,13S,14S,17S)-3-hydroxy-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-17-yl]ethanone	3-hydroxynaphthalene-2-carboxylic acid	0	8955&7104
2-hydroxybenzamide	3-hydroxybenzoic acid	0	5147&7420
butanedioic acid	benzoic acid	0	1110&243
pyrrolidine-2,5-dione	2-hydroxybenzoic acid	0	11439&338
pyrrolidine-2,5-dione	3-hydroxybenzoic acid	0	11439&7420
pyrrolidine-2,5-dione	benzoic acid	0	11439&243
urea	benzoic acid	0	1176&243
5-methyl-2-propan-2-ylphenol	2-(diethylamino)-N-(2,6-dimethylphenyl)acetamide	0	6989&3676
2-hydroxy-1,2-diphenylethanone	benzene-1,3-diol	0	8400&5054
(1R,4R)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-one	3-nitrophenol	0	159055&11137
3-[[2-(diaminomethylideneamino)-1,3-thiazol-4-yl]methylsulfanyl]-N'-sulfamoylpropanimidamide	1,1-dioxo-1,2-benzothiazol-3-one	0	5702160&5143
(1E,6E)-1,7-bis(4-hydroxy-3-methoxyphenyl)hepta-1,6-diene-3,5-dione	(2R,3R)-2,3-dihydroxybutanedioic acid	0	969516&444305
(1R,4R)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-one	4-nitrophenol	0	159055&980
4-hydroxy-3-methoxybenzaldehyde	naphthalen-1-ol	0	1183&7005
fluoren-9-one	9H-carbazole	0	10241&6854
naphthalen-2-ol	benzene-1,3-diamine	0	8663&7935
1,3,7-trimethylpurine-2,6-dione	4-amino-N-(1,3-thiazol-2-yl)benzenesulfonamide	0	2519&5340
(1R,4R)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-one	benzoic acid	0	159055&243
2-[1-(4-chlorobenzoyl)-5-methoxy-2-methylindol-3-yl]acetic acid	oxalic acid	0	3715&971
naphthalen-1-ol	2-nitroaniline	0	7005&6946
2,6-dihydroxybenzoic acid	2-[2-(2,6-dichloroanilino)phenyl]acetic acid	0	74404&3033
pyridine-3-carboxamide	2-hydroxynaphthalene	0	936&8663
1H-indole	2-methyl-1H-indole	0	798&7224
naphthalen-1-ol	urea	0	7005&1176
3-[[2-(diaminomethylideneamino)-1,3-thiazol-4-yl]methylsulfanyl]-N'-sulfamoylpropanimidamide	pyridine-3-carboxamide	0	5702160&936
1H-indole	pyridine-3-carboxamide	0	798&936
(1E,6E)-1,7-bis(4-hydroxy-3-methoxyphenyl)hepta-1,6-diene-3,5-dione	pyridine-3-carboxamide	0	969516&936
3,5-dimethyl-1H-pyrazole	2-[2-(2,6-dichloroanilino)phenyl]acetic acid	0	6210&3033
pyridin-4-amine	benzoic acid	0	1727&243
2-[1-(4-chlorobenzoyl)-5-methoxy-2-methylindol-3-yl]acetic acid	(3S)-3-(3,3-dimethylbutylamino)-4-[[(2S)-1-methoxy-1-oxo-3-phenylpropan-2-yl]amino]-4-oxobutanoic acid	0	3715&9810996
benzamide	benzene-1,4-diamine	0	2331&7814
4-hydroxy-3-methoxybenzaldehyde	naphthalen-2-ol	0	1183&8663
3-aminophenol	benzene-1,3-diol	0	11568&5054
(8R,9S,13S,14S,17S)-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,17-diol	naphthalen-1-ol	0	5757&7005
benzamide	3-nitrophenol	0	2331&11137
1-(4-aminophenyl)ethanone	4-nitrophenol	0	7468&980
benzamide	2-chlorobenzoic acid	0	2331&8374
9H-carbazole	1-methyl-2,4-dinitrobenzene	0	6854&8461
6854	2-nitrophenol	0	6854&6947
(E)-but-2-enedioic acid	2-[1-(4-chlorobenzoyl)-5-methoxy-2-methylindol-3-yl]acetic acid	0	444972&3715
4-phenylphenol	2-nitroaniline	0	7103&6946
9H-carbazole	2,4-dinitrophenol	0	6854&1493
pyridine-3-carboxamide	N-(4-hydroxyphenyl)acetamide	0	936&1983
naphthalen-2-ol	2-nitroaniline	0	8663&6946
4-pyridin-4-ylpyridine	butanediamide	0	11107&8036
1H-pyrazole	2-[2-(2,6-dichloroanilino)phenyl]acetic acid	0	1048&3033
1,5-dimethyl-2-phenylpyrazol-3-one	N-(4-ethoxyphenyl)acetamide	0	2206&4754
N-(4-hydroxyphenyl)acetamide	1,3,7-trimethylpurine-2,6-dione	0	1983&2519
4-hydroxy-3-methoxybenzaldehyde	2-chloroacetic acid	0	1183&300
benzene-1,2-diol	4-methoxyphenol	0	289&9015
benzene-1,2-diamine	benzamide	0	7243&2331
9H-carbazole	1,3-dinitrobenzene	0	6854&7452
pyrazine-2-carboxylic acid	pyridine-2-carboxamide	0	1047&15070
3-hydroxybenzaldehyde	naphthalen-2-ol	0	101&8663
