2,6-dimethoxy-3,5-dinitropyrazine	2,4,6,8,10,12-hexanitro-2,4,6,8,10,12-hexazatetracyclo[5.5.0.03,11.05,9]dodecane	1	BIZYUH
carbon dioxide	2,4,6,8,10,12-hexanitro-2,4,6,8,10,12-hexazatetracyclo[5.5.0.03,11.05,9]dodecane	1	OLADAH
3-methyl-1H-imidazole-2-thione	2,4,6,8,10,12-hexanitro-2,4,6,8,10,12-hexazatetracyclo[5.5.0.03,11.05,9]dodecane	1	JOCSEC
3-oxido-4,9,12,15-tetraoxa-5,8,10,14,16-pentaza-3-azoniatetracyclo[11.3.0.02,6.07,11]hexadeca-1(16),2,5,7,10,13-hexaene	2,4,6,8,10,12-hexanitro-2,4,6,8,10,12-hexazatetracyclo[5.5.0.03,11.05,9]dodecane	1	JAQXUX
2-methyl-1,3,5-trinitrobenzene	2-aminobenzoic acid	1	URILUD
4,9,12,15-tetraoxa-3,5,8,10,14,16-hexazatetracyclo[11.3.0.02,6.07,11]hexadeca-1(16),2,5,7,10,13-hexaene	2,4,6,8,10,12-hexanitro-2,4,6,8,10,12-hexazatetracyclo[5.5.0.03,11.05,9]dodecane	1	JAQXOR
2-methyl-1,3,5-trinitrobenzene	4-aminobenzoic acid	1	URILIR
diphenyldiazene	1,3,5-trinitrobenzene	1	ABTNBA01
hexahelicene	1,3,5-trinitrobenzene	1	ABUNIU
3-nitropyridin-2-amine	5-nitropyrimidin-2-amine	1	AJAKOL
anthracene	1,3,5-trinitrobenzene	1	ANCTNB
tetracyclo[7.5.2.04,16.012,15]hexadeca-1(14),2,4,6,8,10,12,15-octaene	1,3,5-trinitrobenzene	1	APANBZ
2,4,6,8,10,12-hexanitro-2,4,6,8,10,12-hexazatetracyclo[5.5.0.03,11.05,9]dodecane	pyrazine	1	BIYXAL
2,5-dimethylpyrazine	2,4,6,8,10,12-hexanitro-2,4,6,8,10,12-hexazatetracyclo[5.5.0.03,11.05,9]dodecane	1	BIZZAO
4-(4-aminophenyl)aniline	1,3,5-trinitrobenzene	1	BNZTNB
naphtho[1,2-b]phenanthrene	1,3,5-trinitrobenzene	1	BZATNB20
11-azatricyclo[5.3.1.04,11]undeca-1(10),2,4,6,8-pentaene	1,3,5-trinitrobenzene	1	CAZTBZ01
9H-carbazole	1,3,5-trinitrobenzene	1	CBZTNB
1,4-diethynylbenzene	1,4-dinitrobenzene	1	CECPEF
2,2-dinitroethene-1,1-diamine	1,10-phenanthroline	1	CEZFOF
3-methylbenzene-1,2-diamine	2-methyl-1,3,5-trinitrobenzene	1	DIFZOK
5-nitro-3-(5-nitro-1H-1,2,4-triazol-3-yl)-1H-1,2,4-triazole	5-nitro-1H-1,2,4-triazol-3-amine	1	DUKBOC
5-nitro-3-(5-nitro-1H-1,2,4-triazol-3-yl)-1H-1,2,4-triazole	3,6-dinitro-2,4-dihydropyrazolo[4,3-c]pyrazole	1	DUKBUI
4,5-dinitro-1H-pyrazole	5-nitro-3-(5-nitro-1H-1,2,4-triazol-3-yl)-1H-1,2,4-triazole	1	DUKCAP
3,5-dinitrobenzonitrile	phenazine	1	ERAFAE
2-methyl-1,3,5-trinitrobenzene	pyrene	1	FETYAE
2-methyl-1,3,5-trinitrobenzene	4-[3,5-bis(4-aminophenyl)phenyl]aniline	1	FONHOH
4-[3,5-bis(4-aminophenyl)phenyl]aniline	1,3-dinitrobenzene	1	FONJAV
5-nitro-1H-1,2,4-triazole	3,5-dinitro-1-propan-2-yl-1,2,4-triazole	1	FUFSOQ
2-methyl-1,3,5-trinitrobenzene	3,8,13-trioxido-4,9,14-trioxa-5,10,15-triaza-3,8,13-triazoniatetracyclo[10.3.0.02,6.07,11]pentadeca-1(15),2,5,7,10,12-hexaene	1	GEXMAZ
3,8,13-trioxido-4,9,14-trioxa-5,10,15-triaza-3,8,13-triazoniatetracyclo[10.3.0.02,6.07,11]pentadeca-1(15),2,5,7,10,12-hexaene	1,3,5-trinitrobenzene	1	GEXMED
2,4,6-trinitroaniline	3,8,13-trioxido-4,9,14-trioxa-5,10,15-triaza-3,8,13-triazoniatetracyclo[10.3.0.02,6.07,11]pentadeca-1(15),2,5,7,10,12-hexaene	1	GEXMIH
3,8,13-trioxido-4,9,14-trioxa-5,10,15-triaza-3,8,13-triazoniatetracyclo[10.3.0.02,6.07,11]pentadeca-1(15),2,5,7,10,12-hexaene	N-methyl-2,4,6-trinitroaniline	1	GEXMON
4-nitro-1H-pyrazole	5-methyl-1H-1,2,4-triazol-3-amine	1	HECREM
3,6-bis(3,5-dimethylpyrazol-1-yl)-1,2,4,5-tetrazine	4,5-dinitro-1H-pyrazole	1	HETTIM
3,6-bis(3,5-dimethylpyrazol-1-yl)-1,2,4,5-tetrazine	5-nitro-2H-tetrazole	1	HETTOS
6-(3,5-dimethylpyrazol-1-yl)-1,2,4,5-tetrazin-3-amine	4-nitro-2H-triazole	1	HETTUY
4,9,15-trioxa-3,5,8,10,12,14,16-heptazatetracyclo[11.3.0.02,6.07,11]hexadeca-1(16),2,5,7,10,13-hexaene	2,4,6,8,10,12-hexanitro-2,4,6,8,10,12-hexazatetracyclo[5.5.0.03,11.05,9]dodecane	1	HIVGAW
1H-benzimidazol-2-amine	1,3,5-trinitrobenzene	1	HUZSEA
2-methyl-1,3,5-trinitrobenzene	2,4,6,8,10,12-hexanitro-2,4,6,8,10,12-hexazatetracyclo[5.5.0.03,11.05,9]dodecane	1	IZUZUZ
2-methyl-1,3,5-trinitrobenzene	2,4,6,8,10,12-hexanitro-2,4,6,8,10,12-hexazatetracyclo[5.5.0.03,11.05,9]dodecane	1	IZUZUZ01
N-methyl-N-[[methyl(nitro)amino]methyl]nitramide	2,4,6,8,10,12-hexanitro-2,4,6,8,10,12-hexazatetracyclo[5.5.0.03,11.05,9]dodecane	1	JABYIX
N-ethyl-N-[[ethyl(nitro)amino]methyl]nitramide	2,4,6,8,10,12-hexanitro-2,4,6,8,10,12-hexazatetracyclo[5.5.0.03,11.05,9]dodecane	1	JABYOD
4-methyl-5-nitro-1H-imidazole	2,4,6,8,10,12-hexanitro-2,4,6,8,10,12-hexazatetracyclo[5.5.0.03,11.05,9]dodecane	1	JOCTAZ
9-methylcarbazole	3,5-dinitrobenzonitrile	1	KIZVAQ
9-ethylcarbazole	3,5-dinitrobenzonitrile	1	KOBFIQ
4,6-dinitro-1-N,3-N-bis(4-nitrophenyl)benzene-1,3-diamine	nitrobenzene	1	KUMYOI
1,4-dinitroimidazole	2,4,6,8,10,12-hexanitro-2,4,6,8,10,12-hexazatetracyclo[5.5.0.03,11.05,9]dodecane	1	LOKJIH
anthracene	4-nitro-1,6-dioxido-[1,2,5]oxadiazolo[3,4-g][2,1,3]benzoxadiazole-1,6-diium	1	LUTGUD
2-N,2-N,4-N,4-N,6-N,6-N-hexamethyl-1,3,5-triazine-2,4,6-triamine	1,3,5-trinitrobenzene	1	MAAZNB
2-methyl-1,3,5-trinitrobenzene	1,3,5-trinitrobenzene	1	NIBJUF
benzene-1,3,5-triamine	1,3,5-trinitrobenzene	1	NIBZAM
2,5-dimethyl-1,3-dinitrobenzene	1,4-dimethyl-2,3-dinitrobenzene	1	NIKLOL
1-methyl-2,4-dinitroimidazole	2,4,6,8,10,12-hexanitro-2,4,6,8,10,12-hexazatetracyclo[5.5.0.03,11.05,9]dodecane	1	NILCET
1,2,4,5-tetramethylbenzene	1,3,5-trinitrobenzene	1	POCVIP
tetrazole-1,5-diamine	N-[1-[2-(5-nitroimino-2H-tetrazol-1-yl)ethyl]-2H-tetrazol-5-ylidene]nitramide	1	POSREV
2,4,6,8,10,12-hexanitro-2,4,6,8,10,12-hexazatetracyclo[5.5.0.03,11.05,9]dodecane	2,4,6,8,10,12-hexanitro-2,4,6,8,10,12-hexazatetracyclo[5.5.0.03,11.05,9]dodecane	1	PUBMUU20
1-N,3-N-bis(2,6-dinitrophenyl)benzene-1,3-diamine	2-[4-(dicyanomethylidene)cyclohexa-2,5-dien-1-ylidene]propanedinitrile	1	PUBWEO
4-pyridin-4-ylpyridine	N-(2-nitramidoethyl)nitramide	1	PUTWEI
4-(2-pyridin-4-ylethyl)pyridine	N-(2-nitramidoethyl)nitramide	1	PUTWIM
4-(2-pyridin-4-ylethenyl)pyridine	N-(2-nitramidoethyl)nitramide	1	PUTWOS
dipyridin-4-yldiazene	N-(2-nitramidoethyl)nitramide	1	PUTWUY
1,4-dihydroxypyrazine	N-(2-nitramidoethyl)nitramide	1	PUTXAF
phenyl(pyridin-4-yl)diazene	N-(2-nitramidoethyl)nitramide	1	PUTXEJ
triphenylene	1,3,5-trinitrobenzene	1	PVVBFD01
naphthalene	1,3,5-trinitrobenzene	1	PVVBKP01
pyrene	1,3,5-trinitrobenzene	1	PYRTNB
1-methyl-3,4,5-trinitropyrazole	2,4,6,8,10,12-hexanitro-2,4,6,8,10,12-hexazatetracyclo[5.5.0.03,11.05,9]dodecane	1	QAPNAZ
3,5-dinitro-1H-pyrazol-4-amine	1,2,5-oxadiazole-3,4-diamine	1	QARQUY
2-methyl-1,3,5-trinitrobenzene	2-methylbenzene-1,3-diamine	1	QINLEH
5,7-dioxido-[1,2,5]oxadiazolo[3,4-e]tetrazine-5,7-diium	N-methyl-N-[[methyl(nitro)amino]methyl]nitramide	1	QOSRUN
nitrobenzene	1-nitro-4-[tris(4-nitrophenyl)methyl]benzene	1	QOWBEJ
3,5-dinitrobenzonitrile	pyrene	1	REDCIM
anthracene	3,5-dinitrobenzonitrile	1	REDCUY
N,N-dimethylaniline	3,5-dinitrobenzonitrile	1	REDDAF
benzene-1,3-diamine	3,5-dinitrobenzonitrile	1	REDDEJ
N-methyl-N-[[methyl(nitro)amino]methyl]nitramide	1,3,5,7-tetranitro-1,3,5,7-tetrazocane	1	RENPUV
benzo[b]triphenylene	1,3,5-trinitrobenzene	1	RULLUF
acridine	1,3,5-trinitrobenzene	1	RUYKUR
1,10-phenanthroline	1,3,5-trinitrobenzene	1	RUYLAY
phenazine	1,3,5-trinitrobenzene	1	RUYLEC
1,3,5-trinitro-2-[2-(2,4,6-trinitrophenyl)ethenyl]benzene	4-pyridin-4-ylpyridine	1	SERZIB
3-methyl-1H-indole	1,3,5-trinitrobenzene	1	SKTNIB
N-(2H-tetrazol-5-yl)nitramide	2-methyltetrazol-5-amine	1	SOQPAQ
stilbene	1,3,5-trinitrobenzene	1	STINBZ
CC1(C)N([O])C(=N([O])C1(C)C)c1cc(cc(c1)C1=N([O])C(C)(C)C(C)(C)N1[O])C1=N([O])C(C)(C)C(C)(C)N1[O]	1,3,5-trinitrobenzene	1	SUGCAY
4,9,15-trioxa-3,5,8,10,12,14,16-heptazatetracyclo[11.3.0.02,6.07,11]hexadeca-1(16),2,5,7,10,13-hexaen-12-amine	2,4,6,8,10,12-hexanitro-2,4,6,8,10,12-hexazatetracyclo[5.5.0.03,11.05,9]dodecane	1	TETTAQ
1,3-dinitrobenzene	2,4,6,8,10,12-hexanitro-2,4,6,8,10,12-hexazatetracyclo[5.5.0.03,11.05,9]dodecane	1	TIVJUF
2-methyl-1,3,5-trinitrobenzene	1-nitronaphthalene	1	TOZMUS
1,4-dinitrobenzene	perylene	1	UGUNAN
2-methyl-1,3,5-trinitrobenzene	naphthalene	1	URIHUZ
2-methyl-1,3,5-trinitrobenzene	anthracene	1	URIJEL
2-methyl-1,3,5-trinitrobenzene	perylene	1	URIJUB
2-methyl-1,3,5-trinitrobenzene	4-chloroaniline	1	URILAJ
nitrobenzene	1,5,17,21,33,37-hexazatridecacyclo[35.11.1.15,17.121,33.02,35.03,18.06,15.09,14.019,34.022,31.025,30.038,47.041,46]henpentaconta-2,6(15),7,9,11,13,18,22(31),23,25,27,29,34,38(47),39,41,43,45-octadecaene	1	USEZID
N-(1,2-dihydrotetrazol-5-ylidene)nitramide	tetrazol-2-amine	1	VAZBIJ
chrysene	1,3,5-trinitrobenzene	1	VIGKIF
2-methylchrysene	1,3,5-trinitrobenzene	1	VIGKUR
4-methylchrysene	1,3,5-trinitrobenzene	1	VIGLEC
1-methyl-3,5-dinitro-1,2,4-triazole	2,4,6,8,10,12-hexanitro-2,4,6,8,10,12-hexazatetracyclo[5.5.0.03,11.05,9]dodecane	1	WEPGEG
1-hydroxypyridin-1-ium	O=N(=O)N1CN(CN(CN(C1)N(=O)=O)N(=O)=O)N(=O)=O	1	WEPTAP
2,4,6-tris(4-methylphenyl)-1,3,5-triazine	1,3,5-trinitrobenzene	1	WOJWIB
1,3,5-tris(4-methylphenyl)benzene	1,3,5-trinitrobenzene	1	WOJWOH
1,3,5-triphenylbenzene	1,3,5-trinitrobenzene	1	WOJXEY
1,3,5-triethynylbenzene	1,3,5-trinitrobenzene	1	XAHZAH
2-methyl-1,4-dinitrobenzene	2,4,6,8,10,12-hexanitro-2,4,6,8,10,12-hexazatetracyclo[5.5.0.03,11.05,9]dodecane	1	XAJJUQ
3,6-bis(3,5-dimethylpyrazol-1-yl)-1,2,4,5-tetrazine	5-nitro-2H-benzotriazole	1	XEMCID
5-(trinitromethyl)-3-[5-(trinitromethyl)-1H-1,2,4-triazol-3-yl]-1H-1,2,4-triazole	2H-triazole	1	XIZCER
(methoxyamino)-methyl-oxoazanium	2,4,6,8,10,12-hexanitro-2,4,6,8,10,12-hexazatetracyclo[5.5.0.03,11.05,9]dodecane	1	YEDVAH
